dimension,noise_level,avg_procrustes_error,std_procrustes_error,valid_runs,all_errors
32,0.14,0.026349766938104157,0.002727390534211556,10,"[np.float64(0.02325284874774225), np.float64(0.02729127827295257), np.float64(0.024061035399175597), np.float64(0.024779069617674707), np.float64(0.025909415983663982), np.float64(0.026273549758589816), np.float64(0.023448792329026677), np.float64(0.027230468314152694), np.float64(0.032889149844176443), np.float64(0.028362061113886852)]"
32,0.15,0.026912046492079872,0.0012775982335591649,10,"[np.float64(0.026702130778350572), np.float64(0.026584448738617816), np.float64(0.028888128565364504), np.float64(0.025129197563461284), np.float64(0.027182236665077825), np.float64(0.02640701427820494), np.float64(0.026134110045476302), np.float64(0.02937071511402945), np.float64(0.025494446326740864), np.float64(0.027228036845475173)]"
32,0.16,0.030902678311626613,0.0023719779780884084,10,"[np.float64(0.030195678441556444), np.float64(0.02660649762905166), np.float64(0.033722886277023974), np.float64(0.029704405061079853), np.float64(0.028502407217357882), np.float64(0.03135220884259104), np.float64(0.03090091673854948), np.float64(0.030069726828161756), np.float64(0.035045524349798025), np.float64(0.032926531731096005)]"
32,0.17,0.03377880677977239,0.0032126829092116666,10,"[np.float64(0.03466343687707901), np.float64(0.031381375983477386), np.float64(0.03364369468788349), np.float64(0.0346390142465666), np.float64(0.03439318274814652), np.float64(0.04237223898605015), np.float64(0.03294631702431491), np.float64(0.03195298397494951), np.float64(0.031630899035416056), np.float64(0.03016492423384018)]"
32,0.18,0.03800918037636587,0.00434521345900626,10,"[np.float64(0.03672789901426259), np.float64(0.0477901607438931), np.float64(0.03555930973536577), np.float64(0.03960508209072091), np.float64(0.03203674136998186), np.float64(0.04194085319822301), np.float64(0.04027934126164051), np.float64(0.03732723227577034), np.float64(0.03482070650475621), np.float64(0.03400447756904446)]"
32,0.19,0.04118986596126646,0.0033952579552203256,10,"[np.float64(0.039001926147448435), np.float64(0.044760226826622555), np.float64(0.03950492822930511), np.float64(0.04819457373789543), np.float64(0.0354909657271505), np.float64(0.03936320012618284), np.float64(0.03923730243768276), np.float64(0.04194871129816585), np.float64(0.0408565095318093), np.float64(0.043540315550401824)]"
32,0.2,0.04471294563331524,0.0032438697060341126,10,"[np.float64(0.04490496693720128), np.float64(0.043182209015251605), np.float64(0.04274480131819304), np.float64(0.04381615741838485), np.float64(0.052504039332029406), np.float64(0.048905826650202155), np.float64(0.044480136951691285), np.float64(0.0426022272987013), np.float64(0.042541783509646144), np.float64(0.041447307901851284)]"
32,0.21,0.05020994347396255,0.005644241240398517,10,"[np.float64(0.04730736017357315), np.float64(0.051088307984064794), np.float64(0.045882461271737694), np.float64(0.06486713087562458), np.float64(0.04524734334076216), np.float64(0.050818997064131725), np.float64(0.05484078100370667), np.float64(0.04577111338355356), np.float64(0.04887467472840639), np.float64(0.04740126491406474)]"
32,0.22,0.054153172920434776,0.003107996874496221,10,"[np.float64(0.05841044732354308), np.float64(0.04920060286940773), np.float64(0.053018956021023765), np.float64(0.05153392748842211), np.float64(0.05551686915060525), np.float64(0.052085177967201954), np.float64(0.05603587085901313), np.float64(0.05185519483576105), np.float64(0.05970614096613952), np.float64(0.054168541723230164)]"
32,0.23,0.0578613770794185,0.004004946165093665,10,"[np.float64(0.056714673872590826), np.float64(0.05490215850313284), np.float64(0.05392097278148079), np.float64(0.057483897856725724), np.float64(0.05422509993004604), np.float64(0.05316240754025459), np.float64(0.06482178531754212), np.float64(0.061484361475062206), np.float64(0.06400773983564022), np.float64(0.0578906736817096)]"
32,0.24,0.06172542288286348,0.0031286062682431815,10,"[np.float64(0.05767919762430121), np.float64(0.062247100682648396), np.float64(0.05988323901083848), np.float64(0.059528039755909555), np.float64(0.0624233813212541), np.float64(0.06718715217773522), np.float64(0.06682438913547617), np.float64(0.058353629161820124), np.float64(0.06318845543662314), np.float64(0.059939644522028386)]"
32,0.25,0.06639145912772607,0.003059526009133352,10,"[np.float64(0.06427926060333591), np.float64(0.07135015543380314), np.float64(0.06790461731549556), np.float64(0.06027384781069109), np.float64(0.06449105326214422), np.float64(0.07076987436525856), np.float64(0.06597748808982039), np.float64(0.06726344931413471), np.float64(0.06533637701570565), np.float64(0.06626846806687149)]"
32,0.26,0.07140044317415764,0.0044547515147725005,10,"[np.float64(0.07122113661637741), np.float64(0.07143174188663638), np.float64(0.07081534255115851), np.float64(0.06877871885045708), np.float64(0.07357213284314118), np.float64(0.07743791958636587), np.float64(0.06845386073301464), np.float64(0.08042582253077908), np.float64(0.06618423069139291), np.float64(0.06568352545225328)]"
32,0.27,0.07686075296483305,0.0036788878512106923,10,"[np.float64(0.07242176629840923), np.float64(0.07308923115483812), np.float64(0.07335982261709972), np.float64(0.08074680257214875), np.float64(0.07646658174578541), np.float64(0.0795529050883695), np.float64(0.07623314788198375), np.float64(0.07604288499562063), np.float64(0.08489025960283063), np.float64(0.07580412769124492)]"
32,0.28,0.07709415461448973,0.0030716126238413562,10,"[np.float64(0.07521843968644078), np.float64(0.074426867233058), np.float64(0.0768254437123807), np.float64(0.07412995939698046), np.float64(0.08313732833102877), np.float64(0.08254960183145671), np.float64(0.07477502002061417), np.float64(0.07564498478746266), np.float64(0.07637692248622117), np.float64(0.07785697865925392)]"
32,0.29,0.08382103970093266,0.0033151374823955407,10,"[np.float64(0.0805340139272001), np.float64(0.0798154554090224), np.float64(0.08211370381562526), np.float64(0.0835725316571879), np.float64(0.08875254586823543), np.float64(0.08127549500913947), np.float64(0.08138853603317922), np.float64(0.08698123670854817), np.float64(0.08419084604104353), np.float64(0.08958603254014504)]"
32,0.3,0.09233814898427782,0.005116436875085119,10,"[np.float64(0.10110157926311739), np.float64(0.08839590129523767), np.float64(0.08490072872139372), np.float64(0.09506786117787247), np.float64(0.08514558184457134), np.float64(0.09069600784345312), np.float64(0.09633311146050647), np.float64(0.09169484459713592), np.float64(0.09174770398089573), np.float64(0.09829816965859436)]"
