dimension,noise_level,avg_procrustes_error,std_procrustes_error,valid_runs,all_errors
128,0.18,0.07278965899814684,0.0028159138434621675,10,"[np.float64(0.07328565564948085), np.float64(0.07705880849626084), np.float64(0.07318302536547797), np.float64(0.07067324093507858), np.float64(0.07596751405335916), np.float64(0.07176957277681834), np.float64(0.07502183474649873), np.float64(0.07399049326238374), np.float64(0.06764833015966969), np.float64(0.0692981145364404)]"
128,0.19,0.0766630861732374,0.0017085342276786175,10,"[np.float64(0.07832653415002502), np.float64(0.07847884715266053), np.float64(0.07862617591106738), np.float64(0.07626354123446155), np.float64(0.07765082777877885), np.float64(0.07472326949615007), np.float64(0.07814341916483668), np.float64(0.07562238826437663), np.float64(0.0750454846752534), np.float64(0.07375037390476387)]"
128,0.2,0.08282033542994288,0.0027145370743838805,10,"[np.float64(0.07920930140135965), np.float64(0.08680035018915087), np.float64(0.08328999260754144), np.float64(0.0797523149253109), np.float64(0.0832320397208615), np.float64(0.0824355379793385), np.float64(0.08085690475199753), np.float64(0.08309688534390552), np.float64(0.08818269176934608), np.float64(0.08134733561061684)]"
128,0.21,0.08646451490446713,0.0027159588299330226,10,"[np.float64(0.08465061779305014), np.float64(0.08845063779366216), np.float64(0.08842828474651514), np.float64(0.08900707147751456), np.float64(0.08594659499028044), np.float64(0.08109283972418764), np.float64(0.08435459115632543), np.float64(0.09111746550909232), np.float64(0.0860181560499753), np.float64(0.08557888980406803)]"
128,0.22,0.0956695636018077,0.0033071369345573087,10,"[np.float64(0.09867638946699638), np.float64(0.09062754973118044), np.float64(0.09939838525034332), np.float64(0.09661882345282803), np.float64(0.09047991445125865), np.float64(0.09418472253109203), np.float64(0.09354058713121668), np.float64(0.09952794022550296), np.float64(0.0989297564109126), np.float64(0.09471156736674584)]"
128,0.23,0.10002993282506764,0.0040454000478621875,10,"[np.float64(0.10310592599523961), np.float64(0.09794514191113089), np.float64(0.10579747824227459), np.float64(0.09550454547481305), np.float64(0.09913831997510074), np.float64(0.09872963213889), np.float64(0.1001666450700685), np.float64(0.09648009193355006), np.float64(0.10785217670371486), np.float64(0.09557937080589418)]"
128,0.24,0.10500685075876266,0.002468631008999329,10,"[np.float64(0.10441795660855216), np.float64(0.10743094585310092), np.float64(0.10461969964923915), np.float64(0.10188339239447124), np.float64(0.10079098433261625), np.float64(0.10310937650119201), np.float64(0.1092537743025601), np.float64(0.10587177169771964), np.float64(0.10561346176932915), np.float64(0.10707714447884603)]"
128,0.25,0.11557559352757492,0.005716513987153936,10,"[np.float64(0.11268962039794257), np.float64(0.12043465494549288), np.float64(0.12654862226063665), np.float64(0.11967187496500631), np.float64(0.11088360547573763), np.float64(0.11036148415314839), np.float64(0.11132413940833119), np.float64(0.11535230671826953), np.float64(0.1208323305733362), np.float64(0.10765729637784796)]"
128,0.26,0.12038925699809577,0.004567240698702265,10,"[np.float64(0.11685289114907749), np.float64(0.11952140285501617), np.float64(0.12073171707223797), np.float64(0.12543254217407115), np.float64(0.11455629418162935), np.float64(0.12702038125932028), np.float64(0.1260046614136977), np.float64(0.12151050053337539), np.float64(0.11275939710449359), np.float64(0.1195027822380385)]"
128,0.27,0.12730512553663373,0.004227391287352645,10,"[np.float64(0.13101406719436384), np.float64(0.13761590315575353), np.float64(0.1263833265743107), np.float64(0.12898130413872033), np.float64(0.12248634461155822), np.float64(0.12546048793401518), np.float64(0.1225643268734365), np.float64(0.12537207131658737), np.float64(0.12584063709335955), np.float64(0.12733278647423227)]"
128,0.28,0.13509208961403726,0.004109220833322883,10,"[np.float64(0.13088161807330703), np.float64(0.13071912110431191), np.float64(0.13017400479514785), np.float64(0.13516975736160797), np.float64(0.1368773282852142), np.float64(0.13304400851883658), np.float64(0.14166355366121414), np.float64(0.140733661754368), np.float64(0.13931700190812923), np.float64(0.13234084067823584)]"
128,0.29,0.14281472598766431,0.004886213584569773,10,"[np.float64(0.1338424684021095), np.float64(0.13883744169686574), np.float64(0.14082959776378012), np.float64(0.14677420558024518), np.float64(0.14369220458741516), np.float64(0.13802985940090795), np.float64(0.14187352968040132), np.float64(0.14496284019613603), np.float64(0.14939235030977813), np.float64(0.14991276225900388)]"
128,0.3,0.15005132194882614,0.0053588818145778976,10,"[np.float64(0.15734278114475467), np.float64(0.15368268305627472), np.float64(0.15137864010415344), np.float64(0.14600301280921443), np.float64(0.15284367525743872), np.float64(0.1551654895238545), np.float64(0.14460562735266905), np.float64(0.1439355717023813), np.float64(0.1410204181931647), np.float64(0.15453532034435608)]"
